,Age,Gender,Highest Education Level,Preferred Subjects in Highschool/College,Participation in Extracurricular Activities,Previous Work Experience (If Any),Preferred Work Environment,Risk-Taking Ability ,Leadership Experience,Networking & Social Skills,Tech-Savviness,Financial Stability - self/family (1 is low income and 10 is high income),Motivation for Career Choice ,Number of Siblings,What would you like to become when you grow up,CGPA
101,20,Male,Under Graduate,Commerce,Culturals,Internship,Research,7.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,8,Money,1,Government Officer,7.5
102,20,Male,Under Graduate,Commerce,Sports,Internship,Startup,10.0,Student Council Member,Attended Corporate events,Comfortable using newly launched technologies,7,Social Impact,1,Entrepreneur,8.6
103,20,Female,Under Graduate,Commerce,Sports,Internship,Corporate Job,8.0,No Experience,Attended Conferences,Can efficiently work with AI tools,7,Passion,1,Corporate Employee,7.88
104,20,Female,Under Graduate,Science,Debate,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,3,Freedom,2,Corporate Employee,8.89
105,20,Male,Under Graduate,Commerce,Sports,No Experience,Research,7.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Money,1,Entrepreneur,7.84
106,20,Male,Under Graduate,Science,Sports,Internship,Corporate Job,7.0,Event Management,No Experience,Can efficiently work with AI tools,6,Money,1,Government Officer,8.8
107,23,Female,Post Graduate,Arts,Not Participated,No Experience,Corporate Job,8.0,No Experience,No Experience,Good Coding knowledge,4,Freedom,1,Corporate Employee,7.5
108,21,Male,Under Graduate,Science,Sports,Internship,Startup,4.0,No Experience,No Experience,Can efficiently work with AI tools,5,Money,3,,8.75
109,21,Male,Under Graduate,Commerce,Not Participated,Internship,Corporate Job,10.0,Event Management,Attended Conferences,Can efficiently work with AI tools,6,Freedom,1,Corporate Employee,7.89
110,21,Male,Under Graduate,Commerce,Sports,No Experience,Startup,10.0,No Experience,No Experience,Comfortable using newly launched technologies,1,Money,0,Entrepreneur,7.0
111,21,Male,Under Graduate,Science,Sports,No Experience,Startup,7.0,No Experience,No Experience,Can efficiently work with AI tools,7,Money,1,Government Officer,8.53
112,20,Male,Under Graduate,Science,Sports,No Experience,Corporate Job,6.0,No Experience,No Experience,Comfortable using newly launched technologies,6,Social Impact,1,Government Officer,7.8
113,20,Female,Under Graduate,Science,Sports,Internship,Startup,10.0,No Experience,Attended Corporate events,Can efficiently work with AI tools,10,Social Impact,1,Corporate Employee,8.6
